title;description;status;year;jurisdiction;source;datePromulgated;yearEnded;learnMore;learnMoreLanguage;dateModified;countries;states;technologies;tags;policyType
Resolution of the Council of Ministries - 171/2004;The Council of Ministries approved a Programme with actions towards facing the potential impact of the high prices of oil in the international market. This Programme has in mind the particular situation of the high dependence of Portuguese economy in imported energy namely oil and the high energy intensity of Portuguese Economy. The main actions proposed in this Programme are: 1) A significant increase of the production of Energy from Renewable sources and the liberalization of energy markets. 2) Incentives to the utilization of Public Transports and the implementation of multimodal Transports infrastructures. 3) Incentives to energy efficiency and to the use of Renewables and Cogeneration in the Industrial sector. 4) Promoting Energy Efficiency in buildings and in the service sector. The Programme will be coordinated by the Ministry of Economic Activities and will integrate working groups from different Government Departments that will address issues like Tax incentives, Regulation, Research and Development and A.ambient.;In force;2004;National;JOIN IEA/IRENA Policy and Measures Database;;;;;1,34619E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];[];[];[]
New feed in tariffs for Renewables - DL 33-A/2005;<p>This Decree Law 33- A/2005 establishes the way to calculate the feed in tariffs for Renewables in Portugal and establishes the validity time for these tariffs. The formula for calculation of the Feed in tariffs takes in account the technology, the environmental aspects and the inflation rate through the index of prices to the consumer. According to this legislation some typical values are: Wind Energy ~7.6 euro cents/kWh for the first 33 GWh/ MW injected in the grid or 15 years whatever comes first. Photovoltaics For installations less or equal to 5 kW 44.4 euro cents/kWh for the first 21 GWh/ MW injected in the grid or 15 years whatever comes first. For installations bigger than 5 kW 31.7 euro cents/kWh for the first 21 GWh/ MW injected in the grid or 15 years whatever comes first.</p>;Ended;2005;National;JOIN IEA/IRENA Policy and Measures Database;;;http://www.min-economia.pt/innerPage.aspx?idCat=51&idMasterCat=13&idLang=2;;1,36322E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];[];[];[]
Biofuels Law (in relation to Directive 2003/30/EC);In March 2006, Decree Laws 62/2006 and 66/2006 were passed, transposing into Portuguese law EU directive 2003/30/EC on the promotion of the use of biofules or other renewable fuels for transport. The law established indicative consumption targets on the use of renewable sources as a percentage of petrol and diesel. These were 2% in 2006, 3% in 2007, and 5.75% in 2008 and through to 2010. Decree Law 66/2006 allowed for approved biofuel producers to benefit from reductions or exemptions from petroleum taxes by EUR 280-300 Euros per 1000 liters for fuel destined for the commercial market. Small producers, those producing less than 3000 tons per year, petroleum taxes are completely waived. Voluntary agreements on the use of biofuels in public passenger and goods transport fleets, with over 10% incorporation of biofuels into fossil fuels, were also established. The Decree law also provided for the possibility of imposing a quota for biofuels in transport fuels, in cases where their incorporation in the preceding year was less than the figure laid down. With Decree 1391-A/2006, the Government set the maximum ceiling on which the tax exemption can apply at 100 000 tons per producer. Each producer will be allocated a quota for the tax-exempt production based upon factors such as the source of the raw materials and location of the production In September 2008, Portugals Cabinet approved a rule extending the existing tax exemptions for small biofuel producers to local governments. The rule will allow local government entities and companies to produce biofuels, with the final product to be used exclusively for the producers own transport fleets or the fleets ofnonprofit entities.;In force;2006;National;JOIN IEA/IRENA Policy and Measures Database;21-Mar-06;;http://www.min-economia.pt/default.aspx?idLang=2;;1,34248E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Transport technologies""]";[];[]
Modified feed-in tariffs for renewables;"Decree Law No. 225.2007 of 31 May 2007, revised the feed-in tariffs established by the previous Decree Law No. 33 A/2005. The Law covers a wide variety of renewable energy sources, and tariffs vary by source and by capacity. Different tariffs are provided for small (below 5 MW) and large (above 5MW) installations. Wind Below 5 MW: EUR 75/MWh; above 5 MW: EUR 74/MWh Hydro Below 5 MW: EUR 77/MWh; between 5 and 10 MW: EUR 75/MWh Photovoltaic Up to 5 kW: EUR 450/MWh 5 kW to 5 MW: EUR 317/MWh Above 5 MW: EUR 310/MWh micro-generation photovoltaic Under 5 kW: EUR 470/MWh Between 5 and 150 kW: EUR 355/MWh Bioenergy Biomass : EUR 104-109/MWh up to 5 MW; EUR 102-107/MWh above 5 MW (depending on source) Biogas from anaerobic digestion of waste biomass: EUR 117/MWh up to 5 MW; EUR115/MWh above 5 MW Landfill gas: EUR 104/MWh up to 5 MW; EUR 102/MWh above 5 MW Municipal Sold Waste (incineration): EUR 54/MWh up to 5 MW; EUR 53/MWh above 5 MW Waste-derived fuel (incineration): EUR 76/MWh up to 5 MW; EUR 74/MWh above 5 MW Wave power Demonstration wave power up to 4 MW: EUR 260/MWh Pre-commercial wave power from 5 MW up to 20 MW: EUR 191/MWh Commercial wave power above 5 MW: EUR 131/MWh for the first 100 MW; EUR 101/MWh for the subsequent 150 MW; EUR 76/MWh thereafter On 13 September 2007, the Portuguese government approved new incentives for the micro-generation of renewable electricity. This refers to electricity produced primarily for personal consumption, with any excess production available for distribution to third parties or the national grid, up to a limit of 150 kW. The revised rules set a micro-generation tariff of EUR 650 per megawatt hour (MW/h) for an initial five-year period, with payment via electricity bills. An electronic registration platform for micro-generation has been established to manage the new incentive programme, and a simplified licensing and registration procedure has been put in place.";In force;2007;National;JOIN IEA/IRENA Policy and Measures Database;;;http://www.portugal.gov.pt/Portal/PT/Governos/Governos_Constitucionais/GC17/Conselho_de_Ministros/Comunicados_e_Conferencias_de_Imprensa/20070913.htm;;1,34248E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];[];[];[]
Microgeneration Law  (Application Decree Law 118-A/2010);"The Microgeneration Law regulates the microproduction of electricity from renewable energy sources. It provides for a simplified licensing regime for local grid connected, low-voltage, small/residential renewable energy producers. Any entity that has a contract for purchasing electricity can be a producer of electricity from renewable energy sources, covering solar, wind, hydro, cogeneration, biomass, and fuel cells using hydrogen from renewable energy microproduction. Licensing is conducted through the internet, via the System of Registration of Microproducers (SRM), an electronic platform through with producers register their installations. Micro producers cannot inject more than 50 % of the power mentioned in the purchasing contract, limited to 3.68 kW, except in the case of installations for condominiums. There are two types of feed-in tariffs: General Regime - The tariff is equal to the cost of electricity sold under the purchasing contract Bonified Tariff - a special reference tariff is defined during the first 5 years following the installation. The reference tariff for the first 10 MW installed is defined as EUR 650/MWh and decreases 5 % for each additional 10 MW registered in the SRM. The reference tariff applies differently depending on the renewable energy technology used. It is 100% for solar (i.e., the full EUR 650/MWh), 70% for wind, 30% for hydro, cogeneration and biomass. For fuel cells, the tariff is the one that applies to the renewable energy source used for hydrogen production. As of October 2010, the Decree Law 118-A/2010 modifies some aspects of Microgeneration Law DL 363/2007 . This amendment intends to support the generation of electricity from renewable sources in Low voltage systems by simplifying the application procedure. The new regulation increases the annual ceiling for installation to 25 MW per year and streamlines the access to the Micro Production regime for public, social, education, defense and local institutions. Moreover, the Bonified Regime is adjusted to the cost of equipments used in the Micro production and can only be accesssed under certain conditions, namely the compliance with energy efficiency measures and the use of solar thermal collectors or biomass boilers. An incentive is also provided for State Laboratories in order to increase R&amp;D in this field.";In force;2010;National;JOIN IEA/IRENA Policy and Measures Database;;;http://www.renovaveisnahora.pt;;1,34248E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];[];[];[]
Wave Energy Pilot Zone;Decree Law No. 5/2008 establishes a Pilot Zone for the installation of demonstration, pre-commercial and commercial wave energy devices with rated capacity up to 80 MW (distribution grid) plus 170 MW (transportation grid), totalling 250 MW. The zone is located approximately 120 km north of Lisbon, off S„o Pedro de Muel. The zone covers approximately 320 km2 at water depths between 30m and 90m. The decree includes regulations framing licensing and concession arrangements. The legislationís primary aim is to facilitate licensing, given that the exploitation of wave energy harnessing locations requires a State authorisation. The framework set out in this decree-law applies to wave energy harnessing projects that have already been authorised to use the public maritime domain on the date it comes into force. The projects susceptible of being integrated in the pilot area may move to this area and be governed by the provisions of this decree-law, subject to their developers submitting the necessary application within one year of the management authority being set up and it accepting these projects.;In force;2008;National;International Energy Agency;;;http://www.dgge.pt;;1,62976E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Marine energy"",""Electricity generation and CHP technologies"",""Building envelope technologies"",""Ocean (incl. wave, thermal and salinity gradient)""]";[];[]
Biodiesel blending requirement;In February 2009, Decree Law 49/2009 instituted mandatory quotas for use of biofuel in diesel blends, requiring that these contain at least 6% biodiesel (B-6). The quota is to rise to 10% in 2010. The law establishes the use of Biofuel Certificates (CdB) for compliance purposes. The General Directorate of Energy and Geology (DGEG) will issue one CdB to producers for every 1000 litres of biofuel destined to substitute for fossil fuels in the transportation sector. Diesel distributors must register with the DGEG and demonstrate ownership of sufficient certificates to comply with the minimum biofuel quota. The DGEG is to establish electronic accounts for each affected entity. Non-compliance with the quota requirement can entail fines up to EUR 44 891, of which 30% go to the DGEG and 70% to the Portuguese Carbon Fund, a financial instrument for acquiring emissions credits.;In force;2009;National;JOIN IEA/IRENA Policy and Measures Database;27-Feb-09;;http://www.dgge.pt/;;1,34248E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Transport technologies""]";[];[]
Biodiesel tax exemption;Retroactively effective 1 January 2009, Order 134/2009, establishes an exemption from the Tax on Petroleum and Energy Products (ISP) of EUR 280 per 1000 litres of biofuel replacing diesel.;In force;2009;National;JOIN IEA/IRENA Policy and Measures Database;02-Feb-09;;http://dre.pt/pdf1sdip/2009/02/02200/0078500786.pdf;;1,34248E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Transport technologies""]";[];[]
Solar thermal incentive scheme 2009;"For 2009, the Portuguese government launched a special incentive programme to promote the installation of solar thermal panels on homes and buildings. The incentive programme applies to the purchase of a solar thermal ""kit"", comprising panels and ancillary equipment, installation, yearly maintece for six years, and a six year guarantee. The kit is acquired at a competitive cost, firstly due to large-scale negotiations between the government and manufacturers. The government also provides an immediate rebate of EUR 1641.70 for the purchase of a solar thermal kit, and four banks (Caixa Geral de Depositos, BES, Millenium bcp and BPI) have special preferential rate ficing programmes for those wishing to take a credit to cover the remaining cost of the solar thermal system. In addition, the incentive scheme can be combined with existing tax credit provisions for the installation of such systems. Individuals can apply for the scheme up till 31 December 2009 or until the exhaustion of state funds provided for the scheme (EUR 100 million).";Ended;2009;National;JOIN IEA/IRENA Policy and Measures Database;;2009;http://www.min-economia.pt/listPage.aspx?idCat=27&idMasterCat=15&idLang=1&idContent=783&idLayout=1;;1,34248E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Solar thermal heaters"",""Heating, cooling and climate control technologies"",""Solar PV"",""Space, water and process heating technologies"",""Solar""]";[];[]
National Energy Strategy 2020 (ENE 2020);"Pursuant to the policies developed successfully by the 17th Constitutional Government, the 18th Constitutional Government Programme places energy policies in their many aspects as pivotal in reconverting and modernising the Portuguese economy, promoting a territorially-balanced growth and fostering job creation in a convoluted and fast changing international backdrop.


The National Energy Strategy (ENE 2020) hinges around five unfolding and detailed main axes, which act as a vision, a focused set of priorities and an outline of enabling measures:


Axis 1 - AGENDA FOR COMPETITIVENESS, GROWTH AND ENERGY AND FINANCIAL INDEPENDENCE - ENE 2020 stimulates the different economic areas adding value and job creation by betting on innovative projects in the fields of energy efficiency, renewable energy, including the decentralisation of production and electric mobility in a balanced territorial framework; promoting competition in the marketplace by consolidating the Iberian Electricity Market (MIBEL), creating the Iberian Natural Gas Market (MIBGAS), and regulating the national oil system, thus contributing to enhance Portugals energy and financial independence in times of external energy shocks.


Axis 2 - BETTING ON RENEWABLE ENERGY by promoting the development of a national industrial sector, a generator of economic growth and job creation, and which allows the attainment of national targets for renewable energy production by increasing the range of renewable energy types in the country?s available sources of energy supply (energy mix). By doing so Portugal aims to reduce its external dependence, which translates into increased supply safety.


Axis 3 - PROMOTION OF ENERGY EFFICIENCY by targeting a 20% reduction in overall energy consumption by 2020, through both behavioural and fiscal measures, as well as through innovative projects, namely electric vehicles and smart grids, renewable-based decentralised production, and the optimisation of public lighting models and energy management of public, residential and services buildings.


Axis 4 - GUARANTEEING SECUTITY OF ENERGY SUPPLY by sticking to a policy of a wide energy mix of both sources and supply origins, and by strengthening transport and storage infrastructures which will allow the consolidation of the Iberian market in accordance with European energy policy guidelines.


Axis 5 - SUSTAINING THE ENERGY STRATEGY - ENE 2020 promotes economic and environmental sustainability as crucial to the success of the energy policy, by resorting to instruments of fiscal policy, to some revenue generated in the energy sector by CO2 emission allowances, and other revenues generated by the renewable energy sector, for the creation of a tariff equilibrium fund that enables a continuous renewable energy growth process.";In force;2010;National;JOIN IEA/IRENA Policy and Measures Database;;;http://www.min-economia.pt/innerPage.aspx?idCat=51&idMasterCat=13&idLang=2;;1,33332E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];[];[];[]
