country;year;co2;co2_per_capita;primary_energy_consumption;population;gdp;annual_co2_tonnes;energy_available_final_consumption_ktoe;gross_available_energy_ktoe;net_energy_supply_ktoe;renewables_share_pct;public_rd_investment;private_rd_investment;clean_energy_patents;ghg_total_kt_co2eq;ghg_agriculture_kt_co2eq;ghg_buildings_kt_co2eq;ghg_dom_avi_kt_co2eq;ghg_energy_kt_co2eq;ghg_indirect_kt_co2eq;ghg_industry_kt_co2eq;ghg_transport_kt_co2eq;ghg_waste_kt_co2eq
Austria;2004;77.694;9.506;422.457;8173494.0;303692480512.0;77715920.0;26806.511;33098.782;32507.505;22.553;33.534;174.0381592;43.446322543;95775.0568036297;7590.540297210364;14426.2932049294;21.02907830186466;18082.39125181075;327.7362367256247;27618.42225697439;23977.10199762448;3752.571558355759
Austria;2005;79.092;9.611;431.35;8229204.0;311441129472.0;79095480.0;27342.453;34402.13;33735.641;24.353;33.6;293.6932648;61.847107323;96266.2163097655;7464.54789597728;14068.22182082624;21.02907830186466;18500.27910083277;334.4021980799577;27641.481047143803;24675.93022412445;3581.354022781048
Austria;2006;76.812;9.288;425.865;8269902.0;323236888576.0;76796200.0;27769.393;34712.085;34018.889;26.276;42.399;267.2387971;62.970266086;93819.9563452098;7491.985615736713;13751.00548844785;21.02907830186466;17527.64741965741;318.0115754027263;27798.5784402615;23501.1782320158;3431.5495736886587
Austria;2007;74.112;8.932;420.066;8296949.0;336303980544.0;74092160.0;27136.885;34120.399;33384.038;28.144;31.886;369.3527196;97.257773146;90834.9887471976;7484.711304455832;11780.96258176248;21.02907830186466;16493.54484236393;305.74211949631103;27773.40609178261;23685.24214874798;3311.37965858864
Austria;2008;73.49;8.829;424.56;8323250.0;342892511232.0;73466480.0;27165.093;34391.508;33654.856;28.788;71.167;341.98227860000003;94.422880517;90431.4045345463;7474.865334041671;12132.14107236364;21.02907830186466;15882.14159591525;288.2240850146805;28811.007910767188;22641.82877551317;3201.195760930189
Austria;2009;67.307;8.065;409.772;8345072.0;331119034368.0;67301760.0;26522.384;32651.028;32012.06;31.039;92.27;538.5588123;121.384269753;82831.97706811641;7449.397465759735;11222.31680557541;21.02907830186466;14507.68509136681;265.85859750188547;24584.829340048767;21797.746480473288;3004.143287390927
Austria;2010;72.008;8.608;421.558;8365087.0;338832261120.0;72000250.0;27768.93;34854.184;34165.928;31.205;120.979;983.2804089999998;142.007360405;88957.8854352546;7648.560373590333;11509.3881325891;21.02907830186466;17121.39939378425;266.5947066850868;26921.09774441355;22612.61762857998;2878.2274556128
Austria;2011;69.901;8.328;395.869;8393272.0;349713465344.0;69891710.0;26761.826;33840.088;33120.811;31.552;120.823;672.6891025;146.712886322;87163.8316816529;7672.739884238;10198.07165947323;21.02907830186466;16850.38500160154;244.50948440627585;27690.82639495488;21792.26102777379;2715.03822920536
Austria;2012;67.274;7.979;414.402;8431598.0;352093110272.0;67260344.0;27055.068;33740.804;33041.368;32.734;120.101;954.0398582;213.976737252;83822.8125153513;7542.045055299049;9816.61010332223;21.02907830186466;15013.20490531653;234.8956117223807;26918.4340702431;21739.51743217446;2558.105337274102
Austria;2013;67.767;7.99;410.852;8481411.0;352182894592.0;67758860.0;27626.391;34136.106;33467.556;32.665;124.555;781.9219515;208.480427895;84332.9256886335;7574.102864453212;10093.99023868196;21.02907830186466;14330.27221355343;237.6378991462013;26484.655801061683;23205.95423054516;2406.312441190903
