Unit of measure;airpol;Air pollutants and greenhouse gases;src_crf;Source sectors for greenhouse gas emissions (Common reporting format, UNFCCC);TIME_PERIOD;Time;OBS_VALUE
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2018;;51.48124
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2019;;47.74676
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2020;;41.87838
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2021;;40.48436
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2022;;40.85021
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2023;;37.74764
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2004;;65.20661
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2005;;73.37808
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2006;;62.53191
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2007;;59.76223
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2008;;53.87367
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2009;;52.26391
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2010;;49.47612
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2011;;48.48235
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2012;;47.32942
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2013;;46.71457
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2014;;43.99851
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2015;;49.48989
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2016;;49.66996
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2017;;69.17965
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2018;;47.27767
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2019;;44.22653
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2020;;38.08783
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2021;;37.64626
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2022;;40.0816
Million tonnes;CO2;Carbon dioxide;TOTXMEMO;Total (excluding memo items);2023;;35.50554
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2004;;61.52541
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2005;;63.91327
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2006;;59.52546
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2007;;56.43245
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2008;;54.45589
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2009;;53.30911
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2010;;48.75907
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2011;;48.16271
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2012;;46.67789
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2013;;44.53327
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2014;;43.95957
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2015;;48.35114
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2016;;47.11344
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2017;;51.78723
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2018;;48.39383
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2019;;44.42087
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2020;;38.55337
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2021;;37.31325
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2022;;37.8265
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1;Energy;2023;;35.30705
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2004;;60.97429
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2005;;63.28182
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2006;;58.9203
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2007;;55.80636
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2008;;53.87641
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2009;;52.7659
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2010;;48.11464
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2011;;47.56288
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2012;;45.99287
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2013;;43.27189
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2014;;42.86938
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2015;;47.13321
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2016;;45.97013
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2017;;50.56226
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2018;;47.26449
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2019;;43.20654
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2020;;37.46189
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2021;;36.28847
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2022;;36.57393
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2023;;34.20798
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2004;;22.48086
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2005;;25.50291
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2006;;22.52337
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2007;;19.86841
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2008;;19.27665
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2009;;19.42596
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2010;;14.52059
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2011;;16.50229
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2012;;17.45737
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2013;;15.22515
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2014;;14.54173
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2015;;18.37275
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2016;;17.42701
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2017;;21.30372
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2018;;17.87047
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2019;;13.05239
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2020;;10.39119
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2021;;8.31899
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2022;;8.37242
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2023;;5.84991
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2004;;84.19442
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2005;;86.03903
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2006;;81.17084
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2007;;78.86954
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2008;;76.39074
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2009;;73.31394
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2010;;68.91942
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2011;;67.50805
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2012;;65.46802
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2013;;63.53466
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2014;;63.41007
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2015;;67.59192
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2016;;65.74332
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2017;;70.88785
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2018;;67.17157
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2019;;63.60505
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2020;;57.49665
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2021;;56.17358
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2022;;56.40363
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2023;;53.24953
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2004;;82.25853
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2005;;90.46541
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2006;;78.97908
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2007;;76.31403
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2008;;70.2932
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2009;;68.62042
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2010;;65.78459
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2011;;64.37643
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2012;;63.1021
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2013;;62.40954
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2014;;59.54195
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2015;;64.98813
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2016;;65.43234
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2017;;85.93936
