country;year;co2;co2_per_capita;primary_energy_consumption;population;gdp;annual_co2_tonnes;energy_available_final_consumption_ktoe;gross_available_energy_ktoe;net_energy_supply_ktoe;renewables_share_pct;public_rd_investment;private_rd_investment;clean_energy_patents;ghg_total_kt_co2eq;ghg_agriculture_kt_co2eq;ghg_buildings_kt_co2eq;ghg_dom_avi_kt_co2eq;ghg_dom_ship_kt_co2eq;ghg_energy_kt_co2eq;ghg_indirect_kt_co2eq;ghg_industry_kt_co2eq;ghg_off-shore_kt_co2eq;ghg_transport_kt_co2eq;ghg_waste_kt_co2eq
Luxembourg;2005;12.077;25.951;52.553;465372.0;24872865792.0;12075892.0;4095.811;4802.008;4368.979;1.402;0.0;20.043083;7.53805586;13076.605515288;564.1175729193;1679.5841686725;0.45007072;0.0;1358.5451102606;63.76462525505;1995.5353202661;;7278.9082753735;135.70037182076
Luxembourg;2006;11.909;25.184;51.627;472871.0;26045644800.0;11905623.0;4032.707;4724.399;4319.15;1.469;0.0;46.986992300000004;13.37891718;12881.45808595;559.77509941202;1644.0769921849;0.50932768;0.0;1424.5125952843;58.671824389023;2086.8487875719;;6965.6458413653;141.41761806249
Luxembourg;2007;11.305;23.538;50.126;480277.0;28135948288.0;11302203.0;3931.928;4634.501;4198.901;2.725;0.0;16.7975238;4.6588334410000005;12297.900403313;583.45405001611;1563.8764112255;0.64829936;0.0;1273.8697515055;54.341748102923;1994.9951854777;;6686.35752103;140.35743659493
Luxembourg;2008;11.169;22.841;49.761;488995.0;27660466176.0;11166763.0;3968.429;4638.561;4200.08;2.809;0.0;33.6719423;10.462353332;12182.249779259;598.78115774894;1626.7896978872;0.61161648;0.0;1107.0891991292;52.22682927714;1873.4231387226;;6783.9490867633;139.37905325039
Luxembourg;2009;10.625;21.327;47.593;498195.0;26344603648.0;10619787.0;3686.988;4368.588;3948.403;2.929;0.0;99.229938;25.88539181;11584.603149773;606.21156575604;1637.5557467947;1.28813344;0.0;1247.4073072207;45.564079767981;1647.2650089061;;6252.0835961622;147.22771172509
Luxembourg;2010;11.195;22.062;50.116;507418.0;27526699008.0;11190507.0;3927.551;4644.06;4212.94;2.851;0.0;58.8909899;18.015594385;12204.720806652;617.74145478969;1722.5169583268;1.09272656;0.0;1295.5023051969;45.84548582457;1759.8046633101;;6616.9861566692;145.23105597443
Luxembourg;2011;11.097;21.399;48.821;518583.0;28143126528.0;11089509.0;3925.91;4569.659;4166.321;2.855;24.64;147.0885658;47.062339129;12061.095590739;602.9536973565;1413.5025623287;0.85993136;0.0;1092.2995986354;45.023835863693;1755.0061233528;;7014.8713228675;136.57851897394
Luxembourg;2012;10.866;20.466;47.953;530952.0;28607410176.0;10857971.0;3837.954;4460.701;4088.563;3.112;71.436;69.022155;24.912086753;11822.629966486;593.16574267264;1543.0761770578;0.55870848;1.13391138;1117.3553919339;41.359027497333;1699.6052273892;;6695.2602668575;131.11551321754
Luxembourg;2013;10.334;19.018;45.692;543359.0;29514811392.0;10323408.0;3788.533;4340.079;3966.254;3.494;0.0;61.25723;22.179004684000002;11291.579398271;611.17845712424;1569.9581846669;0.61726;1.04538642;762.8248995302;38.932947056541;1629.6585844765;;6549.9784767403;127.38520225612
Luxembourg;2014;9.816;17.646;44.274;556285.0;30289014784.0;9806854.0;3631.791;4222.015;3816.042;4.471;0.0;67.9097427;27.075600583;10797.99104389;623.05893077185;1412.1009942728;0.5678792;1.06299468;713.77657697857;35.519332997803;1632.9876490322;;6255.1359636766;123.78072228038
Luxembourg;2015;9.345;16.408;43.034;569541.0;30976491520.0;9333977.0;3566.742;4178.238;3720.585;4.987;0.0;49.631426000000005;22.816666843;10296.431174615;635.67683313577;1627.7748077;0.68286592;0.97042797;487.42984113462;30.813611040223;1573.1455663229;;5812.3821490175;127.55507237401
Luxembourg;2016;9.09;15.579;42.459;583511.0;32518553600.0;9077205.0;3568.444;4190.508;3682.673;5.364;0.0;44.956357;12.440476425;10036.107312281;644.66472247074;1701.2857124517;0.68921488;0.91099794;277.14635090254;28.523855207334;1619.7348855842;;5634.0089894409;129.14258340331
Luxembourg;2017;9.263;15.529;44.355;596505.0;32946911232.0;9251006.0;3641.419;4330.389;3756.18;6.194;0.0;10.57464;0.0;10194.054781047002;653.09690492237;1743.2462671973;0.68921488;0.92924115;273.30116751167;27.611984816972;1621.7668941754;;5741.0937458987;132.31936049435
Luxembourg;2018;9.567;15.733;46.431;608108.0;33348603904.0;9556162.0;3776.528;4504.739;3890.742;8.942;0.0;0.0;0.0;10529.382849017;631.43401636813;1677.2785702115;0.72942496;0.92725611;251.09261293862;27.28642155503;1677.6310828992;;6129.1992801824;133.80418379228
Luxembourg;2019;9.762;15.741;47.288;620166.0;34122293248.0;9749969.0;3831.007;4545.653;3945.022;7.046;0.0;0.0;0.0;10659.925914888001;629.94211235701;1676.1048500041;0.6454776;0.88846599;251.36242353504;25.989873019579;1685.2524641487;;6267.5720734626;122.16817477106
Luxembourg;2020;8.075;12.805;40.541;630597.0;33850189824.0;8069083.0;3297.64;3967.525;3420.874;11.699;0.0;0.0;0.0;8924.57911154;625.74033606164;1663.341266799;0.57775536;0.2964033;242.88881752788;19.78681038212;1546.0900535517;;4715.4914017331;110.36626682463
Luxembourg;2021;8.421;13.151;43.215;640276.0;35577397248.0;8409505.0;3470.22;4221.718;3598.085;11.713;;;;9317.911431763301;617.78125461037;1695.0734183568;0.73224672;0.2582226;251.93882461839;19.189134730058;1571.2290362909;;5039.1226086442;122.58668519252
Luxembourg;2022;7.277;11.138;38.764;653316.0;36128358400.0;7274379.0;3052.299;3818.771;3171.438;14.286;;;;8192.4376564905;614.30848404426;1471.4166643823;0.60808928;0.31212405;212.84502507448;15.305685689036;1378.2041570682;;4370.7953798788;128.6420470234
Luxembourg;2023;6.993;10.514;37.546;665101.0;;6840733.0;2959.247;3656.784;3059.045;14.312;;;;7852.474207369201;607.00270284924;1455.2749570296;0.5212999578342;0.36633920216704;166.46479417585;13.084772679364;1254.3788398295;;4229.0236764333;126.35682521236
Malta;2004;2.849;6.935;24.279;410800.0;8512522752.0;2849102.0;350.451;1922.748;837.525;0.102;0.0;0.0;0.0;2919.6134773321;86.39316573835;108.118267625;0.0;0.0;2049.2563860174;12.711678180697;36.687940486881;;450.55515234969;175.89088693406
Malta;2005;2.65;6.411;20.713;413323.0;8839848960.0;2649810.0;395.94;1594.139;847.315;0.123;0.039593873;0.0;0.0;2976.3051124276;91.069143742096;123.310180725;3.097892;25.46271;1977.2170486794;13.09647999723;77.202570958628;;481.18507680696;184.66400951832
Malta;2006;2.655;6.391;21.168;415463.0;9004655616.0;2655351.0;389.4;1689.61;847.678;0.149;0.006994127;9.574942;1.903267946;3035.4640900742;91.104323881747;106.88291335;3.097892;28.680228;1998.6148425868;12.934756337767;106.98322964053;;493.87484433719;193.29105994019
Malta;2007;2.728;6.538;23.06;417201.0;9368888320.0;2727800.0;396.47;1800.846;865.214;0.177;0.0;3.989255;1.125;3113.1920105243;89.38415398303;116.73566835;3.097892;31.897746;2032.4448660059;12.881413904506;123.85793731667;;506.25586139253;196.63647157172
Malta;2008;2.721;6.495;23.882;418969.0;9685986304.0;2721287.0;422.676;1888.597;879.712;0.195;0.063250659;6.41026;1.5;3133.2168801092;90.486378866024;119.640736825;3.097892;31.805268;1989.6398911036;13.027291363978;136.79651067403;;555.74776760498;192.97514367168
Malta;2009;2.561;6.085;25.45;420800.0;9450778624.0;2560864.0;372.055;2027.133;804.027;0.221;0.098685318;9.27582;1.611904719;2899.1701217729;80.279940964971;106.56766875;3.097892;28.865184;1868.2069179428;11.621120890108;138.97290952616;;489.50769134854;172.05079635032
Malta;2010;2.619;6.197;30.381;422652.0;9788869632.0;2619259.0;415.2;2387.785;836.672;0.979;0.122431704;9.166943;2.006313134;2949.4107058732;75.585229320699;132.63207639865;0.0;54.420372;1865.6772767333;12.417362498979;154.98770613356;;515.04570568821;138.6449770998
Malta;2011;2.608;6.142;28.884;424634.0;9930574848.0;2608196.0;399.282;2270.848;831.754;1.85;0.292049204;4.66808;1.5;2938.7386924982998;69.826158711892;98.002619714;3.097892;51.3878829;1911.2477279103;12.044934652788;162.84909823917;;505.37177355358;124.91060481655
Malta;2012;2.749;6.443;27.543;426616.0;10339580928.0;2749059.0;419.933;2166.325;881.478;2.862;0.410071206;2.245106;0.735714301;3117.8489586772;71.69533573145;126.065639444;3.097892;44.86050255;2023.4553227934;11.200915833971;201.07670291549;;502.22167827812;134.17496913084
Malta;2013;2.429;5.67;26.145;428457.0;10905470976.0;2429647.0;428.264;2068.796;776.974;3.76;0.301162894;7.927020000000001;2.2166666839999998;2782.9828564112;71.32331284285;135.0401861364;3.097892;35.3929167;1643.5451554296;9.7564755969851;240.39273467838;;511.67347874871;132.76070427824
Malta;2014;2.417;5.563;26.757;434494.0;11737899008.0;2417320.0;444.634;2115.647;780.25;4.744;0.170007065;2.87945;1.00000003;2787.8535893005;71.719382905575;141.848542714;0.0;35.39281221;1605.9390572202;9.6031789775201;257.04581822333;;521.27259680131;145.03220024865
Malta;2015;1.699;3.819;29.281;444979.0;12865696768.0;1697468.0;460.763;2294.528;641.81;5.119;0.153183713;9.19938;3.2666666880000004;2110.1982282822;73.241483683174;160.353881717;3.097892;38.61030348;852.32542963168;7.3485063811991;260.85274132883;;552.8589365622;161.50905349812
Malta;2016;1.376;3.021;32.549;455273.0;13300698112.0;1375879.0;460.995;2470.445;594.334;6.208;0.220734721;6.626416;2.800000041;1827.7760238409;71.576440313771;148.52046116575;3.097892;35.392698;558.98098421184;6.1259688116736;268.98434081999;;555.81810868027;179.27912983764
Malta;2017;1.537;3.285;37.074;467902.0;14746505216.0;1537206.0;502.636;2959.315;685.508;7.219;0.397326299;3.02167;0.0;2016.4201444754;68.888132210555;151.32329042647;1.66073552;41.68463703;710.31407488875;5.2462147538592;293.10398251293;;572.05741798996;172.14165914287
Malta;2018;1.547;3.193;38.703;484559.0;15659758592.0;1547703.0;526.411;3053.813;689.847;7.914;0.405982379;0.0;0.0;2011.7976081872;68.883690512273;134.29033432492;2.0976376;33.76032738;704.065987175;4.8140900292703;254.0062795744;;635.08166054943;174.7976010419
Malta;2019;1.649;3.271;40.333;504017.0;16757308416.0;1649196.0;561.266;3163.634;736.457;8.23;0.0;0.0;0.0;2115.264314344;68.061964894948;147.80430187974;1.86834224;46.61689704;748.96845094;5.3407219894833;248.16740923272;;663.25684063202;185.17938549512
Malta;2020;1.6;3.088;37.14;518213.0;15314071552.0;1600889.0;506.308;2946.878;701.898;10.714;0.0;0.0;0.0;2060.9384192046;68.081724087134;129.54735005594;2.02966036;56.3806746;822.046115005;5.3065695505828;259.93579957867;;530.53145101907;187.07907494819
Malta;2021;1.611;3.072;39.15;524383.0;17122043904.0;1611409.0;541.176;2738.727;722.212;12.631;;;;2068.1506815694;68.411631213494;133.72201464291;2.14054856;67.81780782;779.433679395;5.3425593171156;266.56641389127;;558.39137921122;186.32464751837
Malta;2022;1.774;3.358;;528194.0;18295134208.0;1774245.0;604.09;3042.956;792.142;14.04;;;;2235.0046533096;68.003042947217;161.76407057815;2.15645824;59.6944353;807.959321385;5.5955457422479;269.24330725125;;673.38917697771;187.19929488799
Malta;2023;1.822;3.419;;532964.0;;1768002.0;599.8;3192.164;789.906;15.437;;;;2225.221868796069;68.573025460525;139.76702330341;2.6059610626381;78.742536196231;808.46004159561;5.776124598274;238.33690110176;;693.9810640687;188.97919140895
Netherlands;2004;181.892;11.074;1088.744;16425561.0;646331432960.0;182090420.0;62852.872;99449.736;81324.151;2.03;0.0;403.3750899;151.536437414;228463.268673411;18284.83556423857;39231.1684171586;43.3886200000004;774.5837868;63538.90452042105;540.456274304818;60417.21897376638;1944.2327682873;33832.828326012;9855.65142242175
Netherlands;2005;177.931;10.806;1112.242;16465707.0;664118296576.0;178129760.0;61795.091;99320.442;80055.099;2.478;120.8;352.0343095;136.13119663;222297.61140660528;18335.83995437798;37762.4834132064;43.3825760000002;841.5231264;60772.67981744819;527.752249404473;59810.553182528296;1864.1790175671;33984.42354677507;8354.79452289782
Netherlands;2006;173.085;10.494;1089.576;16493851.0;691453820928.0;173279360.0;62018.149;99707.035;79354.733;2.778;133.60000000000002;388.1954559;132.412406235;218480.9477101044;17983.85678954108;36888.8315996915;37.186792000000196;882.9617652;56223.01619730686;519.053247495578;61332.47378561621;1793.3522502752;34834.28011767823;7985.935165299789
Netherlands;2007;172.833;10.455;1107.524;16531360.0;721200021504.0;173028180.0;60992.355;99819.146;79027.271;3.298;208.0;627.41555556;171.131418944;218602.5964331057;18260.60531987861;33760.22540220963;40.284684000000205;956.27628;59988.17818448535;502.58329640223997;61752.38647221256;1811.5120128634;34024.16386667671;7506.38091437774
